ID,Used,Gender,Age,Education,Years,State,Beekeeping is my primary source of income,Beekeeping is my secondary source of income,Beekeeping is my hobby,I started beekeeping because I enjoy observing bees,I started beekeeping to be outside and connect with nature,I started beekeeping for the pollination services,I started beekeeping to help bees and the Earth,I actively manage my bees,Land Use,Floral Resources,Insecticide,Economic Value,Climate,Beescape is simple,I would like to use Beescape frequently,Beescape is easy to use,I could use Beescape without technical support from another person,The various functions of Beescape are well integrated,The Beescape interface is consistent,Most people could learn to use Beescape quickly,Beescape provides an intuitive interface,I feel confident using Beescape,Nesting,Insecticide,Spring floral,Summer floral,Fall floral,Economic value,Nesting and floral resources,Insecticide,Economic value,The map,Land use,Report card,Temperature and precipitation,Beescape will help me make better decisions about beekeeping,I would recommend using Beescape to other beekepers,I trust what I see when using Beescape,It's worth taking time away from my other responsibilities to use Beescape, I would like to integrate Beescape into my beekeeping workflow over time,The information Beescape provides is relevant to my beekeeping practices,Beescape will help me connect to what is happening in beekeeping science,Beescape would help me meet other beekeepers,Address/Location,Date,Economic Value,Habitat Quality Factors,Land Use,Map,Temperature, Precipitation,Allow users to visualize nearby apiaries on the map.,Allow users to visualize how scores will change in the future for their apiary.,Add discussion boards to support beekeeper conversations about landscape health and sustainability.,Allow data from Beescape to be exported for use in other tools.,View management tips for new beekeepers.,View how data collection is helping scientists at Penn State,Use Beescape on a mobile device (phone or tablet)
23,Yes,1,34-44,Bachelor's degree,4,PA,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,5,5,5,5,5,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,1,2,7,6,5,4,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very useful,Somewhat useful,Somewhat not useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,2,1,6,5,7,3,4
25,No,1,34-44,Graduate or professional degree,2,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,5,4,2,na,5,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,2,3,7,4,6,5,1,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat useful,Very useful,Somewhat not useful,Very useful,Very useful,Very useful,Very useful,Very useful,1,2,5,6,3,7,4
33,No,1,54-65,Bachelor's degree,4,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,5,5,5,na,4,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,2,4,6,1,3,7,5,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither useful nor not useful,,Neither useful nor not useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,1,4,5,6,2,3,7
38,No,1,45-54,Bachelor's degree,1,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,5,5,5,5,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,3,2,7,6,5,4,1,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,2,3,6,4,1,5,7
39,No,1,54-65,Graduate or professional degree,5,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,5,5,,5,4,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,2,3,4,1,5,7,6,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Very useful,Very useful,Neither useful nor not useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,1,4,3,6,2,5,7
41,No,1,34-44,Bachelor's degree,3,PA,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,5,5,5,5,5,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,2,5,6,1,3,4,7,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Very useful,Neither useful nor not useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,1,2,3,6,4,5,7
43,No,1,45-54,Bachelor's degree,8,PA,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,5,na,na,na,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,2,5,6,4,1,7,3,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,1,3,4,5,2,6,7
1,No,2,34-44,Bachelor's degree,3,PA,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,5,2,5,4,5,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,1,3,6,5,4,7,2,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,3,6,4,5,7,2,1
6,No,2,25-33,Some college,4,PA,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,5,5,3,na,5,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,1,5,7,2,3,6,4,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,,Somewhat useful,Somewhat useful,Somewhat not useful,Very useful,Very useful,Very useful,Very useful,Very useful,4,3,5,6,2,7,1
7,No,2,45-54,Bachelor's degree,1,PA,Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,,,,Agree,5,na,2,na,5,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,4,6,5,1,2,7,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,4,5,6,2,3,7,1
8,Yes,2,45-54,Graduate or professional degree,4,PA,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,5,4,4,4,4,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,2,4,7,1,3,5,6,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither useful nor not useful,Neither useful nor not useful,Somewhat not useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,2,6,4,5,3,7,1
12,No,2,66 or Older,Graduate or professional degree,3,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,5,5,5,5,5,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,4,6,1,3,5,7,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,4,1,7,3,6,5,2
13,Yes,2,45-54,Graduate or professional degree,7,PA,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,5,5,5,2,5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,3,5,7,1,2,6,4,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Somewhat useful,Somewhat useful,Somewhat not useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,1,3,7,4,6,5,2
14,No,2,66 or Older,Some college,10,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,5,5,3,3,4,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,2,3,6,1,4,7,5,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Very useful,Not useful at all,Somewhat useful,Very useful,Very useful,Very useful,Neither useful nor not useful,Neither useful nor not useful,1,3,4,7,6,5,2
15,No,2,34-44,Graduate or professional degree,4,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,5,5,5,5,5,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,3,6,1,7,5,4,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,5,1,7,4,3,6,2
16,No,2,34-44,Bachelor's degree,1,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Agree,5,5,3,4,5,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,3,6,7,1,4,5,2,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat useful,Somewhat useful,Neither useful nor not useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,1,5,3,7,4,6,2
19,No,2,66 or Older,Graduate or professional degree,10,PA,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,5,5,5,3,3,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,1,2,6,3,4,7,5,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither useful nor not useful,Neither useful nor not useful,Neither useful nor not useful,Neither useful nor not useful,Neither useful nor not useful,Neither useful nor not useful,Neither useful nor not useful,Neither useful nor not useful,1,7,2,5,4,6,3
20,No,2,45-54,Graduate or professional degree,5,PA,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,4,2,4,1,3,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,3,2,6,5,1,7,4,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly disagree,Disagree,Somewhat not useful,Somewhat not useful,Somewhat useful,Very useful,Very useful,Very useful,Neither useful nor not useful,Neither useful nor not useful,1,2,6,5,4,7,3
21,Yes,2,54-65,Some college,9,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,na,na,na,na,5,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,5,3,4,2,6,7,1,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,3,6,7,2,5,1,4
24,Yes,2,34-44,Graduate or professional degree,4,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,4,4,4,4,5,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,3,6,7,1,2,5,4,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,5,6,2,1,3,7,4
27,Yes,2,54-65,Bachelor's degree,10,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,5,5,4,5,5,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,1,2,7,4,5,6,3,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Somewhat useful,Very useful,Neither useful nor not useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,7,2,6,1,4,3,5
28,No,2,45-54,Graduate or professional degree,5,PA,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,4,3,2,3,3,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1,4,7,5,3,6,2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,1,3,7,6,2,4,5
29,Yes,2,66 or Older,Some college,1,PA,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,5,5,3,5,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,2,1,3,7,4,6,5,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,1,4,7,2,3,6,5
31,No,2,66 or Older,Bachelor's degree,1,PA,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,5,na,na,na,4,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,7,5,1,3,6,4,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,1,3,4,7,2,5,6
32,Yes,2,54-65,Graduate or professional degree,6,PA,Strongly Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,5,5,na,na,5,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,1,2,7,6,5,3,4,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Neither useful nor not useful,Somewhat useful,Somewhat useful,2,3,6,5,4,1,7
34,No,2,34-44,Associates degree,4,PA,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,5,4,5,na,4,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,1,3,7,6,2,4,5,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Very useful,Somewhat not useful,Neither useful nor not useful,Very useful,Very useful,Very useful,Neither useful nor not useful,Neither useful nor not useful,1,2,5,6,4,3,7
36,Yes,2,66 or Older,Some college,12,PA,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,5,5,4,5,5,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1,4,6,5,3,7,2,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither useful nor not useful,Neither useful nor not useful,Neither useful nor not useful,Neither useful nor not useful,Neither useful nor not useful,Neither useful nor not useful,Neither useful nor not useful,Neither useful nor not useful,2,3,5,6,1,4,7
37,Yes,2,54-65,Some college,18,PA,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,4,5,5,5,5,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,3,7,4,1,6,5,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Very useful,Very useful,Neither useful nor not useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,2,3,5,6,1,4,7
